CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1.0.0.0.0.00.00|ATIVO GERAL|01012020|31122020|2|S||1|01
1.1.0.0.0.00.00|ATIVO|01012020|31122020|3|S|1.0.0.0.0.00.00|2|01
1.1.1.0.0.00.00|CIRCULANTE E REALIZÁVEL A LONGO PRAZO|01012020|31122020|4|S|1.1.0.0.0.00.00|3|01
1.1.1.1.0.00.00|DISPONIBILIDADES|01012020|31122020|5|S|1.1.1.0.0.00.00|4|01
1.1.1.1.1.00.00|CAIXA|01012020|31122020|6|S|1.1.1.1.0.00.00|5|01
1.1.1.1.1.10.00|CAIXA|01012020|31122020|7|A|1.1.1.1.1.00.00|6|01
1.1.1.1.2.00.00|DEPÓSITOS BANCÁRIOS|01012020|31122020|8|S|1.1.1.1.0.00.00|5|01
1.1.1.1.2.30.00|DEPÓSITOS BANCÁRIOS DE INSTITUIÇÕES SEM CONTA RESERVA|01012020|31122020|9|A|1.1.1.1.2.00.00|6|01
1.1.1.1.2.92.00|DEPÓSITOS BANCÁRIOS|01012020|31122020|10|A|1.1.1.1.2.00.00|6|01
1.1.1.1.3.00.00|RESERVAS LIVRES|01012020|31122020|11|S|1.1.1.1.0.00.00|5|01
1.1.1.1.3.10.00|BANCO CENTRAL - RESERVAS LIVRES EM ESPÉCIE|01012020|31122020|12|A|1.1.1.1.3.00.00|6|01
1.1.1.1.4.00.00|APLICAÇÕES EM OURO|01012020|31122020|13|S|1.1.1.1.0.00.00|5|01
1.1.1.1.4.10.00|APLICAÇÕES TEMPORÁRIAS EM OURO|01012020|31122020|14|A|1.1.1.1.4.00.00|6|01
1.1.1.1.5.00.00|DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS|01012020|31122020|15|S|1.1.1.1.0.00.00|5|01
1.1.1.1.5.10.00|BANCOS - DEPÓSITOS EM MOEDAS ESTRANGEIRAS NO PAÍS|01012020|31122020|16|A|1.1.1.1.5.00.00|6|01
1.1.1.1.5.20.00|DEPÓSITOS NO EXTERIOR EM MOEDAS ESTRANGEIRAS|01012020|31122020|17|A|1.1.1.1.5.00.00|6|01
1.1.1.1.5.40.00|DISPONIBILIDADES DE MOEDAS ESTRANGEIRAS|01012020|31122020|18|A|1.1.1.1.5.00.00|6|01
1.1.1.2.0.00.00|APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ|01012020|31122020|19|S|1.1.1.0.0.00.00|4|01
1.1.1.2.1.00.00|APLICAÇÕES EM OPERAÇÕES COMPROMISSADAS|01012020|31122020|20|S|1.1.1.2.0.00.00|5|01
1.1.1.2.1.10.00|REVENDAS A LIQUIDAR - POSIÇÃO BANCADA|01012020|31122020|21|S|1.1.1.2.1.00.00|6|01
1.1.1.2.1.10.03|LETRAS FINANCEIRAS DO TESOURO|01012020|31122020|22|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.05|LETRAS DO TESOURO NACIONAL|01012020|31122020|23|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.07|NOTAS DO TESOURO NACIONAL|01012020|31122020|24|A|1.1.1.2.1.10.00|7|01
