CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1.01.03.06.70|Subconta - Ajuste a Valor Justo - Estoque Serviços|01012021|31129999|168|A|1.01.03.06|5|01
1.01.03.06.75|Subconta - Ajuste a Valor Presente (AVP) -  Estoque Serviços|01012021|31129999|169|A|1.01.03.06|5|01
1.01.03.06.90|Subconta - Adoção Inicial -  Estoque Serviços|01012021|31129999|170|A|1.01.03.06|5|01
1.01.03.07|ESTOQUES (OUTROS)|01012021|31129999|171|S|1.01.03|4|01
1.01.03.07.01|Material em Almoxarifado|01012021|31129999|172|A|1.01.03.07|5|01
1.01.03.07.02|Material Destinado à Destruição|01012021|31129999|173|A|1.01.03.07|5|01
1.01.03.07.03|Sucata|01012021|31129999|174|A|1.01.03.07|5|01
1.01.03.07.04|Outros Estoques|01012021|31129999|175|A|1.01.03.07|5|01
1.01.03.07.55|(-) Perda por Ajuste ao Valor Realizável Líquido - Estoques Outros|01012021|31129999|176|A|1.01.03.07|5|01
1.01.03.07.75|Subconta - Ajuste a Valor Presente (AVP) -  Estoque Outros|01012021|31129999|177|A|1.01.03.07|5|01
1.01.03.07.90|Subconta - Adoção Inicial -  Estoque Outros|01012021|31129999|178|A|1.01.03.07|5|01
1.01.05|DESPESAS DO EXERCÍCIO SEGUINTE|01012021|31129999|179|S|1.01|3|01
1.01.05.01|DESPESAS DO EXERCÍCIO SEGUINTE|01012021|31129999|180|S|1.01.05|4|01
1.01.05.01.01|Alugueis Pagos Antecipadamente|01012021|31129999|181|A|1.01.05.01|5|01
1.01.05.01.02|Prêmios de Seguros a Apropriar|01012021|31129999|182|A|1.01.05.01|5|01
1.01.05.01.03|Encargos Financeiros a Apropriar|01012021|31129999|183|A|1.01.05.01|5|01
1.01.05.01.09|Outros Custos e Despesas Pagos Antecipadamente|01012021|31129999|184|A|1.01.05.01|5|01
1.01.10|ATIVO BIOLÓGICO - CIRCULANTE|01012021|31129999|185|S|1.01|3|01
1.01.10.01|ATIVO BIOLÓGICO AVALIADO PELO VALOR JUSTO - CIRCULANTE|01012021|31129999|186|S|1.01.10|4|01
1.01.10.01.01|Ativo Biológico Consumível - Origem Animal - Pelo Valor Justo|01012021|31129999|187|A|1.01.10.01|5|01
1.01.10.01.02|Ativo Biológico Consumível - Origem Vegetal - Pelo Valor Justo|01012021|31129999|188|A|1.01.10.01|5|01
1.01.10.01.70|Subconta - Ajuste a Valor Justo (AVJ)  -  Ativos Biológicos Consumíveis Pelo Valor Justo - Circulante|01012021|31129999|189|A|1.01.10.01|5|01
1.01.10.01.75|Subconta - Ajuste a Valor Presente (AVP) -  Ativos Biológicos Pelo Valor Justo - Circulante|01012021|31129999|190|A|1.01.10.01|5|01
1.01.10.01.90|Subconta - Adoção Inicial -  Ativo Biologico|01012021|31129999|191|A|1.01.10.01|5|01
1.01.10.02|ATIVO BIOLÓGICO AVALIADO PELO CUSTO - CIRCULANTE|01012021|31129999|192|S|1.01.10|4|01
1.01.10.02.01|Ativo Biológico Consumível - Origem Animal - Pelo Custo|01012021|31129999|193|A|1.01.10.02|5|01
1.01.10.02.02|Ativo Biológico Consumível - Origem Vegetal - Pelo Custo|01012021|31129999|194|A|1.01.10.02|5|01
1.01.10.02.55|( - ) Perdas  por Redução ao Valor Recuperável (Impairment) -  Ativos Biológicos Consumível - Pelo Custo|01012021|31129999|195|A|1.01.10.02|5|01
1.01.10.02.75|Subconta - Ajuste a Valor Presente (AVP) -  Ativos Biológicos Consumíveis  - Pelo Custo|01012021|31129999|196|A|1.01.10.02|5|01
1.01.11|ATIVO NÃO CIRCULANTE MANTIDO PARA VENDA|01012021|31129999|197|S|1.01|3|01
