TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_A$1$1048;L300_A;1;2018;1;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L300_A$2$1192;L300_A;2;2019;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L300_A$3$1344;L300_A;3;2020;1;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_L300_A$5$1497;L300_A;5;2021;1;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_B$5$396;L300_B;5;2014;3;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_B$7$603;L300_B;7;2015;3;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_B$4$732;L300_B;4;2016;3;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_B$3$874;L300_B;3;2017;3;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_B$1$1049;L300_B;1;2018;3;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L300_B$1$1193;L300_B;1;2019;3;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L300_B$5$1345;L300_B;5;2020;3;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_L300_B$16$1498;L300_B;16;2021;3;versão=16 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_C$2$397;L300_C;2;2014;4;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_C$4$616;L300_C;4;2015;4;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_C$3$745;L300_C;3;2016;4;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_C$1$887;L300_C;1;2017;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_C$1$1062;L300_C;1;2018;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L300_C$1$1206;L300_C;1;2019;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L300_C$2$1358;L300_C;2;2020;4;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
