TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;TipoDemonstracao;COD_PLAN_REF;DESC_COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_B$3$1502;U100_B;3;>=2021;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_B$6$1502;U100_B;6;>=2021;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_B$17$1502;U100_B;17;>=2021;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_C$3$1503;U100_C;3;>=2021;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_C$4$1503;U100_C;4;>=2021;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_D$6$1504;U100_D;6;>=2021;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_D$7$1504;U100_D;7;>=2021;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_E$2$1505;U100_E;2;>=2021;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_E$5$1505;U100_E;5;>=2021;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_E$6$1505;U100_E;6;>=2021;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_A$3$1506;U150_A;3;>=2021;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_A$4$1506;U150_A;4;>=2021;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_B$4$1507;U150_B;4;>=2021;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_B$10$1507;U150_B;10;>=2021;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_C$3$1508;U150_C;3;>=2021;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_C$4$1508;U150_C;4;>=2021;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_D$4$1509;U150_D;4;>=2021;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_D$5$1509;U150_D;5;>=2021;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_E$2$1510;U150_E;2;>=2021;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_E$6$1510;U150_E;6;>=2021;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_E$7$1510;U150_E;7;>=2021;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
